Pipeline	DisorderID	DisorderName	TP	FN	FN+FP	affected	FNwHet	FNwCNVHet	FNw_Multi_HetGene	FNFPwHet	FNFPwCNVHet	FNFPw_Multi_HetGene
AA10.6.NonSyn.02_filter2	104	Methylmalonic Acidemia, unclassified (MMA)	3	3	1	7	2	0	1	1	0	0
AA10.6.NonSyn.02_filter2	109	Remethylation Defects (MTHFR, MTR, MTRR, Cbl D v1, Cbl G Deficiencies)	1	0	0	1	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	110	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	7	5	0	12	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	2	Hyperphenylalaninemia, variant	9	10	1	20	10	0	0	1	0	0
AA10.6.NonSyn.02_filter2	201	Carbamoyl Phosphate Synthetase I Deficiency(CPS1 Deficiency)	2	0	0	2	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	3	Biopterin Disorders, co-factor biosynthesis	2	0	0	2	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	4	Hyperphenylalaninemia, benign	21	11	0	32	10	0	0	0	0	0
AA10.6.NonSyn.02_filter2	42	2-Methylbutyryl-CoA Dehydrogenase Deficiency (2MBCD)	3	1	0	4	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	43	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency (HMG CoA Lyase Deficiency/Glutaric Aciduria)	0	1	0	1	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	44	3-Methylcrotonyl-CoA Carboxylase Deficiency (3MCC Deficiency)	18	19	2	39	11	0	0	0	0	0
AA10.6.NonSyn.02_filter2	45	3-Methylglutaconyl-Co-A Hydrotase Deficiency type I (MGA)	0	1	0	1	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	49	Argininemia/Arginase Deficiency (ARG)	1	1	1	3	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	50	Argininosuccinyl-CoA Lyase Deficiency (ASAL Deficiency)	6	3	1	10	3	0	0	0	0	0
AA10.6.NonSyn.02_filter2	51	Beta-Ketothiolase Deficiency (BKT)	1	2	0	3	2	0	0	0	0	0
AA10.6.NonSyn.02_filter2	53	Carnitine Palmitoyl Transferase Deficiency type I (CPT1 Deficiency)	0	1	0	1	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	54	Carnitine Palmitoyl Transferase Deficiency type II (CPT2 Deficiency)	1	4	1	6	2	0	0	1	0	0
AA10.6.NonSyn.02_filter2	55	Carnitine Transporter Deficiency (CTD)/Carnitine Uptake Defect (CUD)	19	18	5	42	10	0	0	3	0	0
AA10.6.NonSyn.02_filter2	56	Carnitine-Acylcarnitine Translocase Deficiency (CAT/CACT Deficiency)	0	2	0	2	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	57	Citrullinemia type I (Argininosuccinic Acid Synthetase Deficiency (ASAS deficiency)/CIT-1)	11	7	0	18	6	0	0	0	0	0
AA10.6.NonSyn.02_filter2	59	Glutaric Acidemia type I (GA1)	20	10	1	31	7	0	0	0	0	0
AA10.6.NonSyn.02_filter2	62	Hypermethioninemia (MET/MAT Deficiency)	4	4	2	10	4	0	0	1	0	0
AA10.6.NonSyn.02_filter2	63	Isobutyryl-CoA Dehydrogenase Deficiency (IBD/IBG Deficiency)	5	4	1	10	2	0	0	1	0	0
AA10.6.NonSyn.02_filter2	64	Isovaleric Acidemia (IVA)	14	13	3	30	7	0	0	1	0	0
AA10.6.NonSyn.02_filter2	65	Long Chain Hyroxy Acyl-CoA Dehydrogenase Deficiency (LCHAD deficiency)	2	6	1	9	4	0	0	1	0	0
AA10.6.NonSyn.02_filter2	66	Maple Syrup Urine Disease (MSUD)	13	10	2	25	5	2	1	1	1	0
AA10.6.NonSyn.02_filter2	67	Medium Chain Acyl-CoA Dehydrogenase Deficiency (MCAD Deficiency)	117	34	4	155	32	0	0	4	1	0
AA10.6.NonSyn.02_filter2	69	Methylmalonic Acidemia, Cbl C, D, F (MMA)	2	21	3	26	6	0	0	0	0	0
AA10.6.NonSyn.02_filter2	70	Methylmalonic Acidemia mut 0 (MMA)	7	12	0	19	6	3	0	0	0	0
AA10.6.NonSyn.02_filter2	71	Methylmalonic Acidemia mut- (MMA)	5	13	1	19	1	0	0	0	0	0
AA10.6.NonSyn.02_filter2	72	Multiple Acyl-CoA Dehydrogenase Deficiency (MAD Deficiency)/Glutaric Acidemia type II (GA2)	6	3	0	9	1	0	0	0	0	0
AA10.6.NonSyn.02_filter2	73	Multiple Carboxylase Deficiency (MCD)	1	3	0	4	1	0	0	0	0	0
AA10.6.NonSyn.02_filter2	76	Propionic Acidemia (PA)	3	4	1	8	1	0	0	1	0	0
AA10.6.NonSyn.02_filter2	77	Short Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency)	26	38	3	67	20	0	0	3	0	0
AA10.6.NonSyn.02_filter2	78	Trifunctional Protein Deficiency (TFP Deficiency)	1	3	0	4	3	0	0	0	0	0
AA10.6.NonSyn.02_filter2	79	Tyrosinemia type I	3	3	0	6	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	83	Very Long Chain Acyl-CoA Dehydrogenase Deficiency (VLCAD Deficiency)	21	20	0	41	8	0	0	0	0	0
AA10.6.NonSyn.02_filter2	86	Prolinemia type-II	0	1	0	1	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	87	Malonic Aciduria (MA)/Malonic Acidemia (MAL)	1	4	0	5	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	89	Ethylmalonic Encephalopathy (EE)	1	1	0	2	1	0	0	0	0	0
AA10.6.NonSyn.02_filter2	93	Medium/Short Chain L-3 Hydroxy Acyl-CoA Dehydrogenase Deficiency (M/SCHADD)	0	1	0	1	0	0	0	0	0	0
AA10.6.NonSyn.02_filter2	94	Prolinemia, unclassified	0	1	0	1	0	0	0	0	0	0
test_AA10.3_filter2	1	Phenylketonuria (PKU) 	38	2	0	40	2	0	0	0	0	0
test_AA10.3_filter2	104	Methylmalonic Acidemia, unclassified (MMA)	4	1	0	5	0	0	0	0	0	0
test_AA10.3_filter2	109	Remethylation Defects (MTHFR, MTR, MTRR, Cbl D v1, Cbl G Deficiencies)	1	0	0	1	0	0	0	0	0	0
test_AA10.3_filter2	110	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	8	1	0	9	0	0	0	0	0	0
test_AA10.3_filter2	2	Hyperphenylalaninemia, variant	13	0	0	13	0	0	0	0	0	0
test_AA10.3_filter2	3	Biopterin Disorders, co-factor biosynthesis	2	0	0	2	0	0	0	0	0	0
test_AA10.3_filter2	4	Hyperphenylalaninemia, benign	18	3	0	21	2	0	0	0	0	0
test_AA10.3_filter2	42	2-Methylbutyryl-CoA Dehydrogenase Deficiency (2MBCD)	2	1	0	3	0	0	0	0	0	0
test_AA10.3_filter2	43	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency (HMG CoA Lyase Deficiency/Glutaric Aciduria)	1	0	0	1	0	0	0	0	0	0
test_AA10.3_filter2	44	3-Methylcrotonyl-CoA Carboxylase Deficiency (3MCC Deficiency)	14	9	1	24	9	0	0	1	0	0
test_AA10.3_filter2	45	3-Methylglutaconyl-Co-A Hydrotase Deficiency type I (MGA)	1	0	0	1	0	0	0	0	0	0
test_AA10.3_filter2	49	Argininemia/Arginase Deficiency (ARG)	3	0	0	3	0	0	0	0	0	0
test_AA10.3_filter2	50	Argininosuccinyl-CoA Lyase Deficiency (ASAL Deficiency)	9	0	0	9	0	0	0	0	0	0
test_AA10.3_filter2	51	Beta-Ketothiolase Deficiency (BKT)	2	0	0	2	0	0	0	0	0	0
test_AA10.3_filter2	53	Carnitine Palmitoyl Transferase Deficiency type I (CPT1 Deficiency)	1	0	0	1	0	0	0	0	0	0
test_AA10.3_filter2	54	Carnitine Palmitoyl Transferase Deficiency type II (CPT2 Deficiency)	4	2	0	6	1	0	0	0	0	0
test_AA10.3_filter2	55	Carnitine Transporter Deficiency (CTD)/Carnitine Uptake Defect (CUD)	24	7	2	33	1	0	0	1	0	0
test_AA10.3_filter2	56	Carnitine-Acylcarnitine Translocase Deficiency (CAT/CACT Deficiency)	1	1	0	2	0	0	0	0	0	0
test_AA10.3_filter2	57	Citrullinemia type I (Argininosuccinic Acid Synthetase Deficiency (ASAS deficiency)/CIT-1)	11	2	0	13	1	0	0	0	0	0
test_AA10.3_filter2	59	Glutaric Acidemia type I (GA1)	26	4	0	30	1	0	0	0	0	0
test_AA10.3_filter2	62	Hypermethioninemia (MET/MAT Deficiency)	7	1	1	9	1	0	0	0	0	0
test_AA10.3_filter2	63	Isobutyryl-CoA Dehydrogenase Deficiency (IBD/IBG Deficiency)	7	0	0	7	0	0	0	0	0	0
test_AA10.3_filter2	64	Isovaleric Acidemia (IVA)	22	5	1	28	3	0	0	0	0	0
test_AA10.3_filter2	65	Long Chain Hyroxy Acyl-CoA Dehydrogenase Deficiency (LCHAD deficiency)	9	0	0	9	0	0	0	0	0	0
test_AA10.3_filter2	66	Maple Syrup Urine Disease (MSUD)	19	3	0	22	2	1	1	0	0	0
test_AA10.3_filter2	67	Medium Chain Acyl-CoA Dehydrogenase Deficiency (MCAD Deficiency)	126	12	0	138	11	1	0	0	0	0
test_AA10.3_filter2	69	Methylmalonic Acidemia, Cbl C, D, F (MMA)	22	2	0	24	0	0	0	0	0	0
test_AA10.3_filter2	70	Methylmalonic Acidemia mut 0 (MMA)	18	0	0	18	0	0	0	0	0	0
test_AA10.3_filter2	71	Methylmalonic Acidemia mut- (MMA)	6	11	1	18	1	0	0	0	0	0
test_AA10.3_filter2	72	Multiple Acyl-CoA Dehydrogenase Deficiency (MAD Deficiency)/Glutaric Acidemia type II (GA2)	5	1	0	6	0	0	0	0	0	0
test_AA10.3_filter2	73	Multiple Carboxylase Deficiency (MCD)	1	2	0	3	0	0	0	0	0	0
test_AA10.3_filter2	76	Propionic Acidemia (PA)	5	0	0	5	0	0	0	0	0	0
test_AA10.3_filter2	77	Short Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency)	21	29	3	53	20	0	0	2	0	0
test_AA10.3_filter2	78	Trifunctional Protein Deficiency (TFP Deficiency)	3	0	0	3	0	0	0	0	0	0
test_AA10.3_filter2	79	Tyrosinemia type I	6	0	0	6	0	0	0	0	0	0
test_AA10.3_filter2	83	Very Long Chain Acyl-CoA Dehydrogenase Deficiency (VLCAD Deficiency)	30	6	0	36	5	0	0	0	0	0
test_AA10.3_filter2	86	Prolinemia type-II	0	1	0	1	0	0	0	0	0	0
test_AA10.3_filter2	87	Malonic Aciduria (MA)/Malonic Acidemia (MAL)	2	3	0	5	0	0	0	0	0	0
test_AA10.3_filter2	89	Ethylmalonic Encephalopathy (EE)	1	0	0	1	0	0	0	0	0	0
test_AA10.3_filter2	93	Medium/Short Chain L-3 Hydroxy Acyl-CoA Dehydrogenase Deficiency (M/SCHADD)	0	1	0	1	0	0	0	0	0	0
test_AA10.3_filter2	94	Prolinemia, unclassified	0	1	0	1	0	0	0	0	0	0
AA10.4	1	Phenylketonuria (PKU) 	62	5	0	67	4	0	0	0	0	0
AA10.4	104	Methylmalonic Acidemia, unclassified (MMA)	6	3	0	9	2	0	0	0	0	0
AA10.4	109	Remethylation Defects (MTHFR, MTR, MTRR, Cbl D v1, Cbl G Deficiencies)	3	0	0	3	0	0	0	0	0	0
AA10.4	110	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	11	3	0	14	0	0	0	0	0	0
AA10.4	2	Hyperphenylalaninemia, variant	26	1	0	27	1	0	0	0	0	0
AA10.4	201	Carbamoyl Phosphate Synthetase I Deficiency(CPS1 Deficiency)	2	0	0	2	0	0	0	0	0	0
AA10.4	3	Biopterin Disorders, co-factor biosynthesis	3	0	0	3	0	0	0	0	0	0
AA10.4	4	Hyperphenylalaninemia, benign	30	4	0	34	3	0	0	0	0	0
AA10.4	42	2-Methylbutyryl-CoA Dehydrogenase Deficiency (2MBCD)	6	1	0	7	0	0	0	0	0	0
AA10.4	43	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency (HMG CoA Lyase Deficiency/Glutaric Aciduria)	1	0	0	1	0	0	0	0	0	0
AA10.4	44	3-Methylcrotonyl-CoA Carboxylase Deficiency (3MCC Deficiency)	29	11	1	41	11	0	0	1	0	0
AA10.4	45	3-Methylglutaconyl-Co-A Hydrotase Deficiency type I (MGA)	3	0	0	3	0	0	0	0	0	0
AA10.4	49	Argininemia/Arginase Deficiency (ARG)	4	0	0	4	0	0	0	0	0	0
AA10.4	50	Argininosuccinyl-CoA Lyase Deficiency (ASAL Deficiency)	10	0	0	10	0	0	0	0	0	0
AA10.4	51	Beta-Ketothiolase Deficiency (BKT)	3	0	0	3	0	0	0	0	0	0
AA10.4	53	Carnitine Palmitoyl Transferase Deficiency type I (CPT1 Deficiency)	1	0	0	1	0	0	0	0	0	0
AA10.4	54	Carnitine Palmitoyl Transferase Deficiency type II (CPT2 Deficiency)	4	2	0	6	1	0	0	0	0	0
AA10.4	55	Carnitine Transporter Deficiency (CTD)/Carnitine Uptake Defect (CUD)	35	10	2	47	3	0	0	1	0	0
AA10.4	56	Carnitine-Acylcarnitine Translocase Deficiency (CAT/CACT Deficiency)	1	1	0	2	0	0	0	0	0	0
AA10.4	57	Citrullinemia type I (Argininosuccinic Acid Synthetase Deficiency (ASAS deficiency)/CIT-1)	18	5	0	23	4	0	0	0	0	0
AA10.4	59	Glutaric Acidemia type I (GA1)	31	4	1	36	1	0	0	0	0	0
AA10.4	62	Hypermethioninemia (MET/MAT Deficiency)	6	4	2	12	4	0	0	1	0	0
AA10.4	63	Isobutyryl-CoA Dehydrogenase Deficiency (IBD/IBG Deficiency)	9	2	0	11	2	0	0	0	0	0
AA10.4	64	Isovaleric Acidemia (IVA)	28	4	1	33	3	0	0	0	0	0
AA10.4	65	Long Chain Hyroxy Acyl-CoA Dehydrogenase Deficiency (LCHAD deficiency)	9	0	0	9	0	0	0	0	0	0
AA10.4	66	Maple Syrup Urine Disease (MSUD)	21	3	1	25	2	0	0	1	0	0
AA10.4	67	Medium Chain Acyl-CoA Dehydrogenase Deficiency (MCAD Deficiency)	157	15	2	174	15	0	0	1	0	0
AA10.4	69	Methylmalonic Acidemia, Cbl C, D, F (MMA)	28	2	0	30	0	0	0	0	0	0
AA10.4	70	Methylmalonic Acidemia mut 0 (MMA)	22	0	0	22	0	0	0	0	0	0
AA10.4	71	Methylmalonic Acidemia mut- (MMA)	8	11	1	20	1	0	0	0	0	0
AA10.4	72	Multiple Acyl-CoA Dehydrogenase Deficiency (MAD Deficiency)/Glutaric Acidemia type II (GA2)	7	3	0	10	0	0	0	0	0	0
AA10.4	73	Multiple Carboxylase Deficiency (MCD)	2	3	0	5	0	0	0	0	0	0
AA10.4	76	Propionic Acidemia (PA)	9	0	0	9	0	0	0	0	0	0
AA10.4	77	Short Chain Acyl-CoA Dehydrogenase Deficiency (SCAD Deficiency)	31	40	2	73	30	0	0	1	0	0
AA10.4	78	Trifunctional Protein Deficiency (TFP Deficiency)	4	0	0	4	0	0	0	0	0	0
AA10.4	79	Tyrosinemia type I	7	0	0	7	0	0	0	0	0	0
AA10.4	83	Very Long Chain Acyl-CoA Dehydrogenase Deficiency (VLCAD Deficiency)	38	9	0	47	5	0	0	0	0	0
AA10.4	85	Prolinemia type-I	0	1	0	1	0	0	0	0	0	0
AA10.4	86	Prolinemia type-II	0	1	0	1	0	0	0	0	0	0
AA10.4	87	Malonic Aciduria (MA)/Malonic Acidemia (MAL)	2	3	0	5	0	0	0	0	0	0
AA10.4	89	Ethylmalonic Encephalopathy (EE)	2	0	0	2	0	0	0	0	0	0
AA10.4	93	Medium/Short Chain L-3 Hydroxy Acyl-CoA Dehydrogenase Deficiency (M/SCHADD)	0	1	0	1	0	0	0	0	0	0
AA10.4	94	Prolinemia, unclassified	0	1	0	1	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	1	Phenylketonuria (PKU) 	17	23	0	40	14	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	104	Methylmalonic Acidemia, unclassified (MMA)	3	2	0	5	1	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	109	Remethylation Defects (MTHFR, MTR, MTRR, Cbl D v1, Cbl G Deficiencies)	1	0	0	1	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	110	Ornithine Transcarbamylase Deficiency (OTC Deficiency)	6	3	0	9	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	2	Hyperphenylalaninemia, variant	7	7	1	15	7	0	0	1	0	0
test_AA10.6.NonSyn.01_filter1	3	Biopterin Disorders, co-factor biosynthesis	2	0	0	2	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	4	Hyperphenylalaninemia, benign	12	10	0	22	9	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	42	2-Methylbutyryl-CoA Dehydrogenase Deficiency (2MBCD)	3	1	0	4	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	43	3-Hydroxy-3-Methylglutaryl-CoA Lyase Deficiency (HMG CoA Lyase Deficiency/Glutaric Aciduria)	0	1	0	1	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	44	3-Methylcrotonyl-CoA Carboxylase Deficiency (3MCC Deficiency)	10	13	1	24	6	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	45	3-Methylglutaconyl-Co-A Hydrotase Deficiency type I (MGA)	1	1	0	2	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	49	Argininemia/Arginase Deficiency (ARG)	1	1	1	3	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	50	Argininosuccinyl-CoA Lyase Deficiency (ASAL Deficiency)	6	3	0	9	3	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	51	Beta-Ketothiolase Deficiency (BKT)	0	2	0	2	2	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	53	Carnitine Palmitoyl Transferase Deficiency type I (CPT1 Deficiency)	0	1	0	1	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	54	Carnitine Palmitoyl Transferase Deficiency type II (CPT2 Deficiency)	1	5	0	6	3	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	55	Carnitine Transporter Deficiency (CTD)/Carnitine Uptake Defect (CUD)	16	15	3	34	9	0	0	1	0	0
test_AA10.6.NonSyn.01_filter1	56	Carnitine-Acylcarnitine Translocase Deficiency (CAT/CACT Deficiency)	0	2	0	2	0	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	57	Citrullinemia type I (Argininosuccinic Acid Synthetase Deficiency (ASAS deficiency)/CIT-1)	10	4	0	14	3	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	59	Glutaric Acidemia type I (GA1)	20	11	0	31	7	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	62	Hypermethioninemia (MET/MAT Deficiency)	5	3	2	10	3	0	0	1	0	0
test_AA10.6.NonSyn.01_filter1	63	Isobutyryl-CoA Dehydrogenase Deficiency (IBD/IBG Deficiency)	3	4	1	8	3	0	0	1	0	0
test_AA10.6.NonSyn.01_filter1	64	Isovaleric Acidemia (IVA)	15	12	2	29	7	0	0	1	0	0
test_AA10.6.NonSyn.01_filter1	65	Long Chain Hyroxy Acyl-CoA Dehydrogenase Deficiency (LCHAD deficiency)	2	6	1	9	4	0	0	1	0	0
test_AA10.6.NonSyn.01_filter1	66	Maple Syrup Urine Disease (MSUD)	12	9	1	22	4	2	1	0	1	0
test_AA10.6.NonSyn.01_filter1	67	Medium Chain Acyl-CoA Dehydrogenase Deficiency (MCAD Deficiency)	106	36	1	143	34	1	0	1	0	0
test_AA10.6.NonSyn.01_filter1	69	Methylmalonic Acidemia, Cbl C, D, F (MMA)	2	22	2	26	6	0	0	0	0	0
test_AA10.6.NonSyn.01_filter1	70	Methylmalonic Acidemia mut 0 (MMA)	7	11	0	18	5	2	0	0	0	0
test_AA10.6.NonSyn.01_filter1	71	Methylmalonic Acidemia mut- (MMA)	4	14	1	19	2	0	0	0	0	0
